"Record ID","Nome da empresa","Proprietário da empresa","Data de criação","Número de telefone","Data da última atividade","Cidade","País/Região","Setor","Valor da venda recente","Valor total dos negócios abertos"
"9367421215","BlaBlaCar","","2022-08-12 09:56"," +33 1 80 96 02 33","","Paris","France","Software de computador","",""
"9367314728","Audi do Brasil","Julia Borges","2022-08-12 09:12","","","Sao Paulo","Brazil","Automotivo","",""
"9351306285","Itaponews","","2022-08-09 22:48","","2022-08-10 10:50","","Brazil","","",""
"9345342759","Americanas","Valéria Silva","2022-08-09 10:34","","","Rio De Janeiro","Brazil","","",""
"9338457714","plantprospect.com.br","","2022-08-08 13:46","","","","","","",""
"9336140179","Rzkdigital","","2022-08-08 07:12","","","","","","",""
"9321695128","Arco Educação","","2022-08-05 08:43"," +55 1 130472655","","Sao Paulo","Brazil","","",""
"9321644300","Kärcher Brasil","","2022-08-05 08:43"," +55 (81) 3228-5178","","Recife","Brazil","","",""
"9321655330","Superiorgruposeb","","2022-08-05 08:43","","","","Brazil","","",""
"9321534750","Kuhnbrasil","","2022-08-05 08:31","","","","Brazil","","",""
"9319646110","MEU TUDO","","2022-08-05 04:42"," +5511995468686","","Ceará","Brazil","","",""
"9290143544","potenciaagricola.com","","2022-08-02 11:33","","2022-08-03 09:00","","","","",""
"9288738443","Andrade Gutierrez","","2022-08-02 09:45"," +55 11 5502-2003","","Belo Horizonte","Brazil","Construção","",""
"9288315033","ioasys","","2022-08-02 09:45"," +55 31 4141-5148","","Belo Horizonte","Brazil","Software de computador","",""
"9288332111","mmartan","","2022-08-02 09:45"," +55 11 3060-9022","","Vinhedo","Brazil","","",""
"9283610455","Zubale","","2022-08-01 21:10","","","San Francisco","United States","","",""
"9283797771","Vidalink do Brasil SA","","2022-08-01 21:10","","","São Caetano Do Sul","Brazil","Saúde, bem-estar e fitness","",""
"9283701144","Rei do Pitaco","","2022-08-01 21:10","","","São Paulo","Brazil","","",""
"9283581851","KION Group","","2022-08-01 21:10","","","Wiesbaden","","","",""
"9283782450","5Asecbrasil","","2022-08-01 21:10","","","","Brazil","","",""
"9283790983","Cushman & Wakefield","","2022-08-01 21:10"," +1 212-841-7500","","Chicago","United States","","",""
"9283825727","Willis Towers Watson","","2022-08-01 21:10","","","London","","","",""
"9283697522","2W Energia","","2022-08-01 21:10"," +55 11 3957-9400","","","Brazil","","",""
"9283790982","safbfr.com.br","","2022-08-01 21:10","","2022-08-26 09:21","","","","",""
"9258496432","Marluvas Calçados Profissionais","","2022-07-28 16:33","","","Dores de Campos","Brazil","Comércio internacional e desenvolvimento","",""
"9256069205","BBC Digital","","2022-07-28 11:54","","","","Brazil","","",""
"9256033185","Betway Group","","2022-07-28 11:54","","","London","United Kingdom","","",""
"9247895589","dcastro.adv.br","","2022-07-27 10:53","","2022-07-27 15:59","","","","",""
"9243221594","Kawasaki Motores do Brasil","","2022-07-26 21:31","","","Manaus","Brazil","Automotivo","",""
"9243248485","Bajaj","","2022-07-26 21:31"," +1 877 638 4878","","St. Albert","Canada","","",""
"9243170157","Estrella Galicia Brasil","","2022-07-26 21:31"," +55 11 2368-5876","2022-08-03 12:56","","Brazil","Alimentos e bebidas","",""
"9231142470","Cencosud","","2022-07-25 13:44","","2023-06-02 14:44","","Brazil","","",""
"9206950984","Enel X","Pedro Alvim","2022-07-22 13:48","","2023-05-10 15:28","Andover","United States","Serviços de utilidade pública","",""
"9208721252","Santillana","","2022-07-22 13:48","","","","Brazil","Redação e edição","",""
"9207436656","granconcursosonline.com.br","","2022-07-22 13:48","","","","","","",""
"9203469996","Lockton","","2022-07-22 11:14"," +1 816-960-9703","","Kansas City","United States","Seguro","",""
"9203330861","Paypal","","2022-07-22 11:14"," +1 408-967-1000","","San Jose","United States","Serviços financeiros","",""
"9203456144","Voiter","","2022-07-22 11:14","","","","Brazil","","",""
"9176499878","Angeloni","","2022-07-20 11:41","","2022-07-20 11:41","Gaston","United States","","",""
"9166267990","Grupo Baston Aerossol","","2022-07-19 13:42"," +55 42 3252-1705","","Palmeira","Brazil","Produtos químicos","",""
"9166433193","Intelli","","2022-07-19 13:42","","","","Brazil","","",""
"9166327987","Igus","","2022-07-19 13:42"," +55 11 3531-4487","","","Brazil","Automação industrial","",""
"9165727066","Tecnoset","","2022-07-19 13:42","","","São Paulo","Brazil","Tecnologia da informação e serviços","",""
"9166267989","CCAA","","2022-07-19 13:42","","","Ipanema","Brazil","Gerenciamento educacional","",""
"9166234888","Royal Palm Hotels & Resorts","","2022-07-19 13:42","","","Campinas","Brazil","","",""
"9166320187","Quadra Realty","","2022-07-19 13:34","","","","Brazil","","",""
"9165394500","Zecompany","","2022-07-19 11:32","","2022-09-12 11:04","","Denmark","","",""
"9139378600","Ourofino Agrociência","","2022-07-15 11:11","55 34 3326 2000","","São Paulo","Brazil","","",""
"9138066536","Reservasvotorantim","","2022-07-15 09:29","","2023-03-09 16:01","","","","",""
"9135527498","WAP","Lucas Galante","2022-07-15 00:43","55 41 3513 9600","2022-07-22 14:27","São José Dos Pinhais","Brazil","Bens de consumo","",""
"9136384400","Agrofy S.A.","","2022-07-15 00:43"," +5511993780443","2022-07-22 15:04","ACQ","Argentina","","",""
"9136378795","Armazem do Grão","","2022-07-15 00:43"," +55 (24) 2237-3078","2022-07-26 16:09","Petrópolis","Brazil","","",""
"9136369957","FCA Latam","Leonardo Marinzek","2022-07-15 00:43","","","Hoofddorp","Netherlands","","",""
"9136321042","QI Escolas e Faculdades","","2022-07-15 00:43","","","Porto Alegre","Brazil","","",""
"9127949396","Panini Brasil","","2022-07-13 16:35","","","Barueri","Brazil","","",""
"9127885980","Jovem Pan","","2022-07-13 15:59","","2022-07-14 11:29","","Brazil","","",""
"9119576350","Guga Kuerten","","2022-07-12 21:19","","","","Brazil","","",""
"9106805587","Via Varejo SA","","2022-07-11 15:08","","","São Caetano do Sul","Brazil","","",""
"9106918827","redemaisrn.com","","2022-07-11 15:08","","","","","","",""
"9106191901","Cloudezbr","","2022-07-11 13:40","","2022-08-10 08:15","Dover","United States","","",""
"9084032862","Makita Brazil","","2022-07-08 11:27","","2022-07-21 16:37","Sao Paulo","Brazil","Maquinário","",""
"9083990022","ABB","","2022-07-08 11:27"," +551136889111","2022-08-04 16:23","Zürich","Switzerland","Fabricação elétrica/eletrônica","",""
"9083990021","Schneider Electric","","2022-07-08 11:27"," +551134685791","2022-08-04 16:22","Palatine","United States","","",""
"9084107801","Bosch América Latina","","2022-07-08 11:27","","","Taquarituba","Brazil","Automotivo","",""
"9083998321","Duracell","","2022-07-08 11:27"," +1 800-498-8666","","Bethel","United States","Bens de consumo","",""
"9054266702","Galpão Centro-Oeste","","2022-07-05 10:09","","2022-07-05 11:49","Taguatinga","Brazil","","",""
"9051681165","Grupo Travelex Confidence","","2022-07-04 21:19","","","Barueri","Brazil","","",""
"9035935343","Congregazione dei Padri Rogazionisti","","2022-07-01 17:47","","","","France","","",""
"9025445717","Krafheinz","","2022-06-30 08:54","","","","","","",""
"9016175130","Ns-Group","","2022-06-29 10:02","","","","Brazil","","",""
"9006384797","Umbro","","2022-06-28 09:09"," +1 212-730-0030","","New York","United States","","",""
"9006426419","Reebok","","2022-06-28 09:09"," +1 781-401-5000","","Boston","United States","Bens de consumo","",""
"8983705780","American Express Company","","2022-06-24 19:00"," +1 212-640-2000","","New York","United States","Bancário","",""
"8983527316","Nestlé","Valéria Silva","2022-06-24 18:38","","2022-10-26 15:00","Vevey","","Alimentos e bebidas","",""
"8983525687","Agrosul","Leonardo Marinzek","2022-06-24 17:49","","2022-07-01 10:07","","Brazil","","",""
"8981917066","John Deere","","2022-06-24 15:30"," +1 309-765-8000","2022-08-24 11:42","Moline","United States","Maquinário","",""
"8981833382","c-a.com","","2022-06-24 14:48","","","Vilvoorde","Belgium","","",""
"8980776616","Tenable","","2022-06-24 11:05","4108720555","","Columbia","United States","Software de computador","",""
"8974209948","Todeschini SA","Gustavo Paulista","2022-06-23 12:41","","","Bento Gonçalves","Brazil","","",""
"8974209947","Burberry","","2022-06-23 12:41"," +1 212-707-6683","","New York","United States","Vestuário e moda","",""
"8974619259","DIOR","","2022-06-23 12:41","","","Paris","France","Vestuário e moda","",""
"8974215055","Grupo Olfar","","2022-06-23 12:41"," +55 54 2106-2600","","Erechim","Brazil","","",""
"8972931905","Smart Traduções Técnicas -","","2022-06-23 09:35","","","","Brazil","","",""
"8969944993","BUDDEMEYER","","2022-06-22 16:33","55 80 0643 1951","","Sao Bento Do Sul","Brazil","Têxteis","",""
"8969918835","Le Creuset","","2022-06-22 16:33","","","Fresnoy-le-Grand","France","Bens de consumo","",""
"8969978679","Dohler SA","","2022-06-22 16:33","","","Joinville","Brazil","Software de computador","",""
"8968558185","Atem","","2022-06-22 15:19","","2022-07-13 12:05","","Brazil","","",""
"8965601643","Famix","","2022-06-22 12:59","","2022-06-22 15:49","","Brazil","","",""
"8965312675","Petra Consultoria","","2022-06-22 11:55","","2022-06-22 17:02","Americana","Brazil","Engenharia civil","",""
"8957554226","BASF","Valéria Silva","2022-06-21 12:36","","","Ludwigshafen am Rhein","","Produtos químicos","",""
"8957439870","Sherwin Williams","","2022-06-21 12:36"," +1 216-566-2200","","Cleveland","United States","Produtos químicos","",""
"8957532502","Dexco","Julia Borges","2022-06-21 12:36","","","","","","",""
"8956826920","Redes Tecnologia","","2022-06-21 10:42","","2022-06-22 16:51","Lavras","Brazil","","",""
"8951513421","Reservas Votorantim","Israel Tischler","2022-06-20 15:22","","2023-03-09 16:36","São Paulo","Brazil","","",""
"8951528488","Taurus","Israel Tischler","2022-06-20 15:20"," +55 5 130213000","","Sao Leopoldo","Brazil","Automação industrial","",""
"8951492905","Tekbond","","2022-06-20 15:20"," +55 11 4785-6600","","Embu Das Artes","Brazil","Produtos químicos","",""
"8920343452","Tapps Ventures","","2022-06-15 09:03","","2022-08-02 16:38","","Brazil","","",""
"8916005508","Omni55","","2022-06-14 15:39","","2022-08-12 06:50","São Paulo","Brazil","","",""
"8915947529","Investfarma","","2022-06-14 15:39","","2023-03-01 10:53","","Brazil","","",""
"8914312016","Villaamericanaeventos","","2022-06-14 12:12","","2022-06-22 16:20","","","","",""
"8913887903","Ericsson","","2022-06-14 11:31"," +46 926 671 07","","Kista","Sweden","Telecomunicações","",""
"8913953200","Shell","Leonardo Marinzek","2022-06-14 11:31","","","Den Haag","","Petróleo e energia","",""
"8913881402","ABB","","2022-06-14 11:31","","","Zürich","Switzerland","Fabricação elétrica/eletrônica","",""
"8913705603","Auto Avaliar","","2022-06-14 10:12","","2022-07-05 14:20","São Paulo","Brazil","Software de computador","",""
"8906816179","BRB","Leonardo Marinzek","2022-06-13 16:35","556133221515","2023-05-15 10:42","Bras?lia","Brazil","Bancário","",""
"8906879745","santanter.com.br","","2022-06-13 16:35","","","","","","",""
"8906791975","Itaú Unibanco","","2022-06-13 16:35"," +55 1 150199986","","Sao Paulo","Brazil","Bancário","",""
"8906783028","Barilla","","2022-06-13 16:21"," +1 847-405-7552","2022-06-21 16:21","Northbrook","United States","Produção de alimentos","",""
"8906887006","Yakult S/A Indústria e Comércio","","2022-06-13 16:21","55 11 3281 9900","2022-06-20 16:20","São Paulo","Brazil","","",""
"8906159915","Oetker","","2022-06-13 16:21","","","","Brazil","Software de computador","",""
"8906798764","Alimentos Zaeli","Julia Borges","2022-06-13 16:21","","","Umuarama","Brazil","Alimentos e bebidas","",""
"8905987993","Aplipack","","2022-06-13 15:29"," +55 19 3471-8270","2022-06-22 17:59","Americana","Brazil","","",""
"8906630579","Gruponos","","2022-06-13 15:25","","","","","","",""
"8906054054","Investprev Seguradora","","2022-06-13 15:25","55 51 3083 2300","","Porto Alegre","Brazil","Seguro","",""
"8905610124","Grupo Carrefour","Israel Tischler","2022-06-13 15:25","","2023-01-10 10:00","","Brazil","","",""
"8882779189","Globo","Valéria Silva","2022-06-09 12:20","552125402711","2022-08-23 10:11","Rio de Janeiro","Brazil","Meios de difusão","",""
"8877396234","upperbr.com","","2022-06-08 16:25","","","","","","",""
"8877349730","Fundación Purina, S.C.","","2022-06-08 16:25","","","Mexico","Mexico","","",""
"8877252189","Natura","","2022-06-08 16:25","","","Sao Paulo","Brazil","Cosméticos","",""
"8870349973","Singleone","","2022-06-07 19:26","","2022-06-07 19:37","","","","",""
"8868561255","littlemonster.com.br","","2022-06-07 14:28","","","","","","",""
"8866151520","Rglongana","","2022-06-07 11:16","","2022-08-15 17:14","","","","","346703.31"
"8865760659","Grupokochsa","","2022-06-07 11:03","","2022-06-29 12:03","","","","",""
"8859281980","MAPFRE Brasil","","2022-06-06 13:28","","","Majadahonda","Spain","Seguro","",""
"8857923441","Sandoz","","2022-06-06 10:55","","","Holzkirchen","","Farmacêutica","",""
"8843766627","Seguradora Líder-DPVAT","","2022-06-03 13:34","","","Rio De Janeiro","Brazil","Seguro","",""
"8844842562","RecargaPay","","2022-06-03 13:34","","","Sao Paulo","Brazil","Software de computador","",""
"8841980533","M.L.Gomes","","2022-06-03 10:11"," +55 (11) 3115-4157","2022-06-13 10:32","São Paulo","Brazil","Serviços jurídicos","",""
"8841882783","Yooper","","2022-06-03 09:53"," +55 11 95271-8088","","São Paulo","Brazil","Marketing e publicidade","",""
"8835502652","Quimivita","","2022-06-02 15:33","","2022-06-02 16:57","","Brazil","","",""
"8825610343","Bausch + Lomb","","2022-06-01 09:59"," +1 908-927-0568","","","United States","Dispositivos médicos","",""
"8825570170","AlmapBBDO","","2022-06-01 09:59"," +55 11 2395-4000","","Sao Paulo","Brazil","Marketing e publicidade","",""
"8825629033","Grupo Zanchetta","","2022-06-01 09:59","","2022-06-24 16:02","","Brazil","","",""
"8820282191","Zenatur","","2022-05-31 16:06","","2022-06-24 11:09","Diadema","Brazil","Logística e cadeia de suprimento","",""
"8819073031","Volvo Cars","Israel Tischler","2022-05-31 14:08","","","Göteborg","Sweden","Automotivo","",""
"8819034157","Renault","","2022-05-31 14:08","","2022-08-11 09:00","Boulogne-Billancourt","","Automotivo","",""
"8819137625","Groupe PSA","","2022-05-31 14:08","","","Hoofddorp","Netherlands","Automotivo","",""
"8819117989","Porsche","","2022-05-31 14:08","","","Santo Amaro","Brazil","Automotivo","",""
"8819141267","Mercedes-Benz USA, LLC","","2022-05-31 14:08"," +1 205-507-3359","","Atlanta","United States","Automotivo","",""
"8817691038","Pier","","2022-05-31 11:19","","","","Brazil","","",""
"8815360269","Cooby","","2022-05-31 02:46"," +1 707-563-1611","","San Francisco","United States","","",""
"8814562454","BIOTRONIK, Inc.","","2022-05-30 20:00","","","Berlin","","Dispositivos médicos","",""
"8813542045","Clear Corretora","","2022-05-30 14:13","55 11 3957 9000","","São Paulo","Brazil","Serviços financeiros","",""
"8811687680","Super Passarela","","2022-05-30 08:48","","","Concórdia","Brazil","","",""
"8811687608","supermercadomaringa.com.br","","2022-05-30 08:48","","","","","","",""
"8811616579","Rede Correia Supermercados","","2022-05-30 08:48","","","","Brazil","","",""
"8811603206","Grupo Amarelinha","","2022-05-30 08:48","","","","Brazil","","",""
"8811666253","Agricer Supermercados","","2022-05-30 08:48","","","","Brazil","Varejo","",""
"8811658420","Comercial Zaffari Ltda","Enzo Cabau","2022-05-30 08:48","","","","","","",""
"8801434779","Ativa","","2022-05-27 17:15","","2022-06-02 17:12","","","","",""
"8793889670","Take and Go","","2022-05-26 16:53","","2022-05-26 16:54","Ribeirao Preto","Brazil","","",""
"8790058108","McCain Foods","Valéria Silva","2022-05-26 09:40","","2022-05-26 09:41","","Brazil","Produção de alimentos","",""
"8786146304","Senna","","2022-05-25 17:11","7024892889","","Las Vegas","United States","","",""
"8782615902","Blackpar","","2022-05-25 10:28","","2022-06-02 17:26","","","","",""
"8782479134","Vianense","","2022-05-25 10:00"," +55 21 2668-5669","","Rio De Janeiro","Brazil","","",""
"8782096236","ASUSTek Computer Inc.","","2022-05-25 09:18","","","Taipei","","","",""
"8782016141","Asus","Lucas Galante","2022-05-25 08:05","","","Fremont","","Hardware de computador","",""
"8774929932","Comercial De Alimentos Itatico","","2022-05-24 14:08","","","","","","",""
"8773536151","Fila","","2022-05-24 12:05"," +1 410-773-3053","","Sparks Glencoe","United States","Vestuário e moda","",""
"8765633902","Supersaojudas","","2022-05-23 16:22","","","","Brazil","","",""
"8766276656","Ball Corporation","","2022-05-23 16:00"," +1 303-469-5511","","Westminster","United States","Embalagens e recipientes","",""
"8765403705","Stanley Black & Decker","","2022-05-23 15:26","","","New Britain","United States","Bens de consumo","",""
"8747371324","Grupo Malwee","Julia Borges","2022-05-20 14:24","","","Jaraguá Do Sul","Brazil","Vestuário e moda","",""
"8742743681","Academia BAI","","2022-05-20 09:09"," +244 227 281 000","","Luanda","Angola","Gerenciamento educacional","",""
"8742252575","Grupo Extrabom Supermercado","Lucas Galante","2022-05-20 09:09"," +552731980300","","Vitória","Brazil","Supermercados","",""
"8742759287","Hiperideal Supermercados","","2022-05-20 09:09","","","Salvador","Brazil","","",""
"8742740328","Istv","","2022-05-20 08:53","","","","Brazil","","",""
"8738627117","Cosan","","2022-05-19 16:07"," +55 11 3897-9797","","Sao Paulo","Brazil","Transporte/caminhões/ferrovias","",""
"8738632063","Flipcrm","","2022-05-19 15:35","","","","Brazil","","",""
"8730472576","NK Sementes","Fabricio Macias","2022-05-18 21:55","","2022-05-30 19:37","","","Agricultura","",""
"8715035277","Lopes Supermercados Ltda","","2022-05-17 11:40","","","","Brazil","","",""
